Aspect_0	Aspect_1	Aspect_2	Aspect_3	Aspect_4	alpha	beta	data	aux_data	sigma
0.091:0.001	0.125:0.001	-0.240:0.002	-0.033:0.000	0.056:0.000	0.064	16.361	3.492	1.752	-1.458
0.091:0.000	0.126:0.000	-0.248:0.001	-0.031:0.000	0.060:0.000	0.010	17.530	12.981	1.534	-1.602
0.086:0.001	0.120:0.001	-0.243:0.000	-0.024:0.001	0.060:0.000	0.050	17.705	14.788	1.544	-1.616
0.080:0.002	0.113:0.002	-0.237:0.002	-0.017:0.002	0.059:0.000	0.116	17.737	14.760	1.637	-1.633
0.070:0.007	0.103:0.007	-0.231:0.002	-0.000:0.010	0.057:0.001	0.395	17.729	13.737	2.201	-1.721
0.055:0.029	0.087:0.031	-0.242:0.001	0.054:0.073	0.044:0.004	2.076	17.431	8.996	4.540	-2.232
0.050:0.077	0.084:0.083	-0.282:0.005	0.151:0.287	-0.006:0.013	6.980	16.853	3.231	6.664	-3.767
0.049:0.102	0.133:0.191	-0.339:0.010	0.236:0.446	-0.080:0.030	11.693	16.721	0.515	7.536	-7.138
-0.011:0.034	0.204:0.312	-0.386:0.009	0.322:0.400	-0.131:0.022	11.660	16.684	0.039	7.643	-13.079
-0.062:0.018	0.284:0.306	-0.423:0.007	0.375:0.372	-0.176:0.014	10.754	16.716	0.000	7.875	-24.109
